"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Muskegon, MI","34740",2023,242,187,44,11,0,0,0,147,87,41,0,0,242,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2023,332,238,94,0,0,0,0,100,62,43,0,0,143,189,0
"Naples-Immokalee-Marco Island, FL","34940",2023,360,259,100,1,0,0,0,144,57,43,0,0,101,259,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2023,365,127,228,10,0,0,0,133,69,54,0,2,95,268,0
"New Castle, IN","35220",2023,348,214,124,8,2,0,0,192,64,44,0,0,0,348,0
"New Castle, PA","35260",2023,267,254,12,1,0,0,0,119,48,34,0,0,267,0,0
"New Haven-Milford, CT","35300",2023,365,205,148,9,2,1,0,208,74,47,0,9,158,198,0
"New Orleans-Metairie, LA","35380",2023,365,139,216,10,0,0,0,126,77,53,0,1,137,227,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2023,365,107,234,17,6,1,0,278,87,56,0,15,101,249,0
"Niles-Benton Harbor, MI","35660",2023,244,181,52,11,0,0,0,143,80,42,0,0,244,0,0
"Nogales, AZ","35700",2023,358,265,92,1,0,0,0,145,63,37,0,0,0,266,92
"North Port-Sarasota-Bradenton, FL","35840",2023,365,231,133,1,0,0,0,143,62,47,0,0,142,223,0
"Norwich-New London, CT","35980",2023,363,258,95,7,3,0,0,166,61,41,0,0,137,226,0
"Ocala, FL","36100",2023,365,241,124,0,0,0,0,99,57,45,0,0,117,248,0
"Odessa, TX","36220",2023,355,285,70,0,0,0,0,84,56,33,0,0,0,355,0
"Ogden-Clearfield, UT","36260",2023,365,185,167,12,1,0,0,151,84,50,0,14,257,92,2
"Oklahoma City, OK","36420",2023,365,128,222,15,0,0,0,143,84,54,0,8,156,198,3
"Olympia-Tumwater, WA","36500",2023,358,327,31,0,0,0,0,82,48,28,0,0,140,218,0
"Omaha-Council Bluffs, NE-IA","36540",2023,365,184,156,23,2,0,0,169,97,50,0,0,176,173,16
"Orlando-Kissimmee-Sanford, FL","36740",2023,365,259,103,3,0,0,0,115,64,44,0,2,201,162,0
"Othello, WA","36830",2023,365,330,32,1,0,2,0,267,50,21,0,0,0,365,0
"Owensboro, KY","36980",2023,304,180,114,9,1,0,0,170,67,46,0,1,165,138,0
"Oxford, NC","37080",2023,242,202,39,1,0,0,0,105,58,43,0,0,242,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2023,365,220,133,12,0,0,0,136,80,46,0,0,239,121,5
"Paducah, KY-IL","37140",2023,355,203,145,7,0,0,0,126,66,47,0,2,126,227,0
"Pahrump, NV","37220",2023,365,339,20,6,0,0,0,147,41,19,0,0,0,0,365
"Palatka, FL","37260",2023,356,355,1,0,0,0,0,54,31,17,0,0,0,0,356
"Palm Bay-Melbourne-Titusville, FL","37340",2023,365,279,85,1,0,0,0,130,58,43,0,0,222,143,0
"Panama City, FL","37460",2023,365,176,189,0,0,0,0,95,61,51,0,0,73,292,0
"Parkersburg-Vienna, WV","37620",2023,269,213,53,2,1,0,0,166,61,41,0,0,191,78,0
"Payson, AZ","37740",2023,365,232,121,11,1,0,0,154,84,46,0,0,347,2,16
"Pensacola-Ferry Pass-Brent, FL","37860",2023,365,167,196,2,0,0,0,108,68,52,0,0,84,281,0
"Peoria, IL","37900",2023,340,187,131,21,1,0,0,151,77,48,0,0,174,166,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2023,365,65,275,19,4,1,1,331,90,59,0,1,81,283,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2023,365,31,248,74,10,1,1,709,126,78,0,0,153,88,124
"Pierre, SD","38180",2023,359,321,30,3,4,1,0,223,52,14,0,0,0,359,0
"Pittsburgh, PA","38300",2023,365,98,243,20,2,2,0,237,89,58,0,0,72,293,0
"Pittsfield, MA","38340",2023,365,257,101,4,3,0,0,170,59,41,0,0,168,197,0
"Platteville, WI","38420",2023,365,198,160,4,2,1,0,221,68,48,0,0,0,365,0
"Pocatello, ID","38540",2023,365,293,39,2,0,0,31,557,77,41,0,0,168,123,74
"Ponca City, OK","38620",2023,335,172,162,1,0,0,0,122,63,49,0,0,0,335,0
"Ponce, PR","38660",2023,340,258,82,0,0,0,0,83,58,30,93,0,0,55,192
"Port Angeles, WA","38820",2023,365,307,57,1,0,0,0,101,53,37,0,0,186,179,0
"Port St. Lucie, FL","38940",2023,365,283,81,1,0,0,0,127,56,41,0,0,172,193,0
"Portland-South Portland, ME","38860",2023,365,261,101,3,0,0,0,120,66,41,0,6,200,155,4
"Portland-Vancouver-Hillsboro, OR-WA","38900",2023,365,219,140,4,2,0,0,153,65,43,0,4,156,205,0
"Portsmouth, OH","39020",2023,365,223,135,5,2,0,0,172,64,44,0,0,0,321,44
"Prescott, AZ","39140",2023,364,298,66,0,0,0,0,87,61,43,0,0,357,7,0
"Price, UT","39220",2023,363,329,34,0,0,0,0,70,50,42,0,0,343,20,0
"Prineville, OR","39260",2023,365,267,86,6,6,0,0,171,63,33,0,0,0,365,0
"Providence-Warwick, RI-MA","39300",2023,365,200,154,11,0,0,0,140,67,48,0,1,153,211,0
"Provo-Orem, UT","39340",2023,365,201,163,1,0,0,0,104,74,48,0,1,231,133,0
"Pueblo, CO","39380",2023,362,277,84,1,0,0,0,115,67,43,0,0,278,43,41
"Pullman, WA","39420",2023,365,323,40,0,0,1,1,326,53,26,0,0,0,365,0
"Quincy, IL-MO","39500",2023,245,184,49,12,0,0,0,136,77,43,0,0,245,0,0
"Racine, WI","39540",2023,203,138,49,14,2,0,0,200,97,44,0,0,203,0,0
"Raleigh, NC","39580",2023,365,184,176,5,0,0,0,130,66,50,0,1,116,248,0
"Rapid City, SD","39660",2023,365,189,164,6,6,0,0,172,80,50,0,0,187,65,113
"Reading, PA","39740",2023,364,205,147,7,3,2,0,287,72,48,0,0,171,193,0
"Red Bluff, CA","39780",2023,365,242,117,6,0,0,0,136,67,44,0,0,285,77,3
"Red Wing, MN","39860",2023,238,198,35,5,0,0,0,133,71,43,0,0,238,0,0
"Redding, CA","39820",2023,365,247,112,5,0,0,1,1435,64,45,0,0,272,93,0
"Reno, NV","39900",2023,365,191,174,0,0,0,0,97,71,50,0,4,248,112,1
"Richmond, VA","40060",2023,365,204,156,2,3,0,0,159,65,48,0,16,127,222,0
"Riverside-San Bernardino-Ontario, CA","40140",2023,365,35,189,78,49,10,4,660,174,81,0,7,187,122,49
"Riverton, WY","40180",2023,365,215,147,3,0,0,0,110,65,49,0,0,277,88,0
"Roanoke Rapids, NC","40260",2023,365,256,108,1,0,0,0,134,60,37,0,8,0,357,0
"Roanoke, VA","40220",2023,365,248,113,3,1,0,0,158,62,43,0,3,127,235,0
"Rochester, MN","40340",2023,365,189,161,14,1,0,0,167,76,49,0,0,119,246,0
"Rochester, NY","40380",2023,365,237,117,6,5,0,0,176,64,43,0,0,140,225,0
"Rock Springs, WY","40540",2023,365,253,103,8,0,1,0,211,71,47,0,0,328,8,29
"Rockford, IL","40420",2023,365,167,178,17,1,2,0,242,77,52,0,0,100,265,0
"Rockland, ME","40500",2023,301,296,5,0,0,0,0,87,44,33,0,0,301,0,0
"Rocky Mount, NC","40580",2023,357,266,91,0,0,0,0,99,59,41,0,0,135,222,0
"Rome, GA","40660",2023,322,184,137,1,0,0,0,110,63,46,0,0,0,322,0
"Roswell, NM","40740",2023,118,107,11,0,0,0,0,75,47,24,0,0,0,118,0
"Ruidoso, NM","40760",2023,119,116,3,0,0,0,0,55,32,14,0,0,0,119,0
"Rutland, VT","40860",2023,364,267,95,2,0,0,0,147,59,38,1,0,175,188,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2023,365,129,222,14,0,0,0,143,90,58,0,0,221,144,0
"Salem, OH","41400",2023,61,60,1,0,0,0,0,74,26,11,0,0,0,0,61
"Salem, OR","41420",2023,365,268,93,4,0,0,0,128,65,38,0,0,130,235,0
"Salinas, CA","41500",2023,365,274,90,1,0,0,0,115,55,42,0,0,146,212,7
"Salisbury, MD-DE","41540",2023,365,215,144,3,2,1,0,203,68,47,0,0,140,225,0
"Salt Lake City, UT","41620",2023,365,149,200,15,1,0,0,154,90,54,0,20,220,118,7
"San Antonio-New Braunfels, TX","41700",2023,365,152,201,10,1,0,1,309,80,53,0,1,137,227,0
"San Diego-Carlsbad, CA","41740",2023,365,61,260,44,0,0,0,150,101,67,0,1,185,151,28
"San Francisco-Oakland-Hayward, CA","41860",2023,365,124,228,13,0,0,0,130,73,54,1,16,65,283,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2023,365,225,136,4,0,0,0,134,67,45,0,0,210,153,2
"San Juan-Carolina-Caguas, PR","41980",2023,318,185,120,11,2,0,0,155,81,42,44,3,11,225,35
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2023,365,207,152,6,0,0,0,122,77,47,0,3,244,115,3
"Sandpoint, ID","41760",2023,363,273,86,2,1,1,0,261,60,34,0,0,0,343,20
"Santa Cruz-Watsonville, CA","42100",2023,365,300,64,1,0,0,0,130,53,36,0,0,176,189,0
"Santa Fe, NM","42140",2023,362,284,78,0,0,0,0,84,64,44,0,0,332,30,0
